"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1952,28.801,8425333,779.4453145
"Afghanistan","Asia",1957,30.332,9240934,820.8530296
"Afghanistan","Asia",1962,31.997,10267083,853.10071
"Afghanistan","Asia",1967,34.02,11537966,836.1971382
"Albania","Europe",1952,55.23,1282697,1601.056136
"Albania","Europe",1957,59.28,1476505,1942.284244
"Albania","Europe",1962,64.82,1728137,2312.888958
"Albania","Europe",1967,66.22,1984060,2760.196931
"Algeria","Africa",1952,43.077,9279525,2449.008185
"Algeria","Africa",1957,45.685,10270856,3013.976023
"Algeria","Africa",1962,48.303,11000948,2550.81688
"Algeria","Africa",1967,51.407,12760499,3246.991771
"Angola","Africa",1952,30.015,4232095,3520.610273
"Angola","Africa",1957,31.999,4561361,3827.940465
"Angola","Africa",1962,34,4826015,4269.276742
"Angola","Africa",1967,35.985,5247469,5522.776375
"Argentina","Americas",1952,62.485,17876956,5911.315053
"Argentina","Americas",1957,64.399,19610538,6856.856212
"Argentina","Americas",1962,65.142,21283783,7133.166023
"Argentina","Americas",1967,65.634,22934225,8052.953021
"Australia","Oceania",1952,69.12,8691212,10039.59564
"Australia","Oceania",1957,70.33,9712569,10949.64959
"Australia","Oceania",1962,70.93,10794968,12217.22686
"Australia","Oceania",1967,71.1,11872264,14526.12465
"Austria","Europe",1952,66.8,6927772,6137.076492
"Austria","Europe",1957,67.48,6965860,8842.59803
"Austria","Europe",1962,69.54,7129864,10750.72111
"Austria","Europe",1967,70.14,7376998,12834.6024
"Bahrain","Asia",1952,50.939,120447,9867.084765
"Bahrain","Asia",1957,53.832,138655,11635.79945
"Bahrain","Asia",1962,56.923,171863,12753.27514
"Bahrain","Asia",1967,59.923,202182,14804.6727
"Bangladesh","Asia",1952,37.484,46886859,684.2441716
"Bangladesh","Asia",1957,39.348,51365468,661.6374577
"Bangladesh","Asia",1962,41.216,56839289,686.3415538
"Bangladesh","Asia",1967,43.453,62821884,721.1860862
"Belgium","Europe",1952,68,8730405,8343.105127
"Belgium","Europe",1957,69.24,8989111,9714.960623
"Belgium","Europe",1962,70.25,9218400,10991.20676
"Belgium","Europe",1967,70.94,9556500,13149.04119
"Benin","Africa",1952,38.223,1738315,1062.7522
"Benin","Africa",1957,40.358,1925173,959.6010805
"Benin","Africa",1962,42.618,2151895,949.4990641
"Benin","Africa",1967,44.885,2427334,1035.831411
"Bolivia","Americas",1952,40.414,2883315,2677.326347
"Bolivia","Americas",1957,41.89,3211738,2127.686326
"Bolivia","Americas",1962,43.428,3593918,2180.972546
"Bolivia","Americas",1967,45.032,4040665,2586.886053
"Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679
"Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423
"Botswana","Africa",1952,47.622,442308,851.2411407
"Botswana","Africa",1957,49.618,474639,918.2325349
"Botswana","Africa",1962,51.52,512764,983.6539764
"Botswana","Africa",1967,53.298,553541,1214.709294
"Brazil","Americas",1952,50.917,56602560,2108.944355
"Brazil","Americas",1957,53.285,65551171,2487.365989
"Brazil","Americas",1962,55.665,76039390,3336.585802
"Brazil","Americas",1967,57.632,88049823,3429.864357
"Bulgaria","Europe",1952,59.6,7274900,2444.286648
"Bulgaria","Europe",1957,66.61,7651254,3008.670727
"Bulgaria","Europe",1962,69.51,8012946,4254.337839
"Bulgaria","Europe",1967,70.42,8310226,5577.0028
"Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"Burkina Faso","Africa",1967,40.697,5127935,794.8265597
"Burundi","Africa",1952,39.031,2445618,339.2964587
"Burundi","Africa",1957,40.533,2667518,379.5646281
"Burundi","Africa",1962,42.045,2961915,355.2032273
"Burundi","Africa",1967,43.548,3330989,412.9775136
"Cambodia","Asia",1952,39.417,4693836,368.4692856
"Cambodia","Asia",1957,41.366,5322536,434.0383364
"Cambodia","Asia",1962,43.415,6083619,496.9136476
"Cambodia","Asia",1967,45.415,6960067,523.4323142
"Cameroon","Africa",1952,38.523,5009067,1172.667655
"Cameroon","Africa",1957,40.428,5359923,1313.048099
"Cameroon","Africa",1962,42.643,5793633,1399.607441
"Cameroon","Africa",1967,44.799,6335506,1508.453148
"Canada","Americas",1952,68.75,14785584,11367.16112
"Canada","Americas",1957,69.96,17010154,12489.95006
"Canada","Americas",1962,71.3,18985849,13462.48555
"Canada","Americas",1967,72.13,20819767,16076.58803
"Central African Republic","Africa",1952,35.463,1291695,1071.310713
"Central African Republic","Africa",1957,37.464,1392284,1190.844328
"Central African Republic","Africa",1962,39.475,1523478,1193.068753
"Central African Republic","Africa",1967,41.478,1733638,1136.056615
"Chad","Africa",1952,38.092,2682462,1178.665927
"Chad","Africa",1957,39.881,2894855,1308.495577
"Chad","Africa",1962,41.716,3150417,1389.817618
"Chad","Africa",1967,43.601,3495967,1196.810565
"Chile","Americas",1952,54.745,6377619,3939.978789
"Chile","Americas",1957,56.074,7048426,4315.622723
"Chile","Americas",1962,57.924,7961258,4519.094331
"Chile","Americas",1967,60.523,8858908,5106.654313
"China","Asia",1952,44,556263527.999989,400.448610699994
"China","Asia",1957,50.54896,637408000,575.9870009
"China","Asia",1962,44.50136,665770000,487.6740183
"China","Asia",1967,58.38112,754550000,612.7056934
"Colombia","Americas",1952,50.643,12350771,2144.115096
"Colombia","Americas",1957,55.118,14485993,2323.805581
"Colombia","Americas",1962,57.863,17009885,2492.351109
"Colombia","Americas",1967,59.963,19764027,2678.729839
"Comoros","Africa",1952,40.715,153936,1102.990936
"Comoros","Africa",1957,42.46,170928,1211.148548
"Comoros","Africa",1962,44.467,191689,1406.648278
"Comoros","Africa",1967,46.472,217378,1876.029643
"Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257
"Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335
"Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424
"Congo, Rep.","Africa",1952,42.111,854885,2125.621418
"Congo, Rep.","Africa",1957,45.053,940458,2315.056572
"Congo, Rep.","Africa",1962,48.435,1047924,2464.783157
"Congo, Rep.","Africa",1967,52.04,1179760,2677.939642
"Costa Rica","Americas",1952,57.206,926317,2627.009471
"Costa Rica","Americas",1957,60.026,1112300,2990.010802
"Costa Rica","Americas",1962,62.842,1345187,3460.937025
"Costa Rica","Americas",1967,65.424,1588717,4161.727834
"Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732
"Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925
"Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"Croatia","Europe",1952,61.21,3882229,3119.23652
"Croatia","Europe",1957,64.77,3991242,4338.231617
"Croatia","Europe",1962,67.13,4076557,5477.890018
"Croatia","Europe",1967,68.5,4174366,6960.297861
"Cuba","Americas",1952,59.421,6007797,5586.53878
"Cuba","Americas",1957,62.325,6640752,6092.174359
"Cuba","Americas",1962,65.246,7254373,5180.75591
"Cuba","Americas",1967,68.29,8139332,5690.268015
"Czech Republic","Europe",1952,66.87,9125183,6876.14025
"Czech Republic","Europe",1957,69.03,9513758,8256.343918
