"continent","country","year","pop","lifeExp","gdpPercap"
"Asia","Afghanistan",1992,16317921,41.674,649.3413952
"Asia","Afghanistan",1997,22227415,41.763,635.341351
"Asia","Afghanistan",2002,25268405,42.129,726.7340548
"Asia","Afghanistan",2007,31889923,43.828,974.5803384
"Europe","Albania",1992,3326498,71.581,2497.437901
"Europe","Albania",1997,3428038,72.95,3193.054604
"Europe","Albania",2002,3508512,75.651,4604.211737
"Europe","Albania",2007,3600523,76.423,5937.029526
"Africa","Algeria",1992,26298373,67.744,5023.216647
"Africa","Algeria",1997,29072015,69.152,4797.295051
"Africa","Algeria",2002,31287142,70.994,5288.040382
"Africa","Algeria",2007,33333216,72.301,6223.367465
"Africa","Angola",1992,8735988,40.647,2627.845685
"Africa","Angola",1997,9875024,40.963,2277.140884
"Africa","Angola",2002,10866106,41.003,2773.287312
"Africa","Angola",2007,12420476,42.731,4797.231267
"Americas","Argentina",1992,33958947,71.868,9308.41871
"Americas","Argentina",1997,36203463,73.275,10967.28195
"Americas","Argentina",2002,38331121,74.34,8797.640716
"Americas","Argentina",2007,40301927,75.32,12779.37964
"Oceania","Australia",1992,17481977,77.56,23424.76683
"Oceania","Australia",1997,18565243,78.83,26997.93657
"Oceania","Australia",2002,19546792,80.37,30687.75473
"Oceania","Australia",2007,20434176,81.235,34435.36744
"Europe","Austria",1992,7914969,76.04,27042.01868
"Europe","Austria",1997,8069876,77.51,29095.92066
"Europe","Austria",2002,8148312,78.98,32417.60769
"Europe","Austria",2007,8199783,79.829,36126.4927
"Asia","Bahrain",1992,529491,72.601,19035.57917
"Asia","Bahrain",1997,598561,73.925,20292.01679
"Asia","Bahrain",2002,656397,74.795,23403.55927
"Asia","Bahrain",2007,708573,75.635,29796.04834
"Asia","Bangladesh",1992,113704579,56.018,837.8101643
"Asia","Bangladesh",1997,123315288,59.412,972.7700352
"Asia","Bangladesh",2002,135656790,62.013,1136.39043
"Asia","Bangladesh",2007,150448339,64.062,1391.253792
