"country","continent","year","lifeExp","pop","gdpPercap"
"United Kingdom","Europe",1967,71.36,54959000,14142.85089
"Eritrea","Africa",2007,58.04,4906585,641.3695236
"Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126
"Taiwan","Asia",2002,76.99,22454239,23235.42329
"Kuwait","Asia",2007,77.588,2505559,47306.98978
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Cameroon","Africa",1957,40.428,5359923,1313.048099
"Hungary","Europe",1982,69.39,10705535,12545.99066
"Iceland","Europe",1952,72.49,147962,7267.688428
"Turkey","Europe",1952,43.585,22235677,1969.10098
"Kenya","Africa",1997,54.407,28263827,1360.485021
"Madagascar","Africa",1987,49.35,10568642,1155.441948
"Zambia","Africa",2007,42.384,11746035,1271.211593
"Lesotho","Africa",1982,55.078,1411807,797.2631074
"Paraguay","Americas",1982,66.874,3366439,4258.503604
"Mozambique","Africa",1987,42.861,12891952,389.8761846
"Nicaragua","Americas",1987,62.008,3344353,2955.984375
"Kenya","Africa",1957,44.686,7454779,944.4383152
"Mexico","Americas",1992,71.455,88111030,9472.384295
"Mauritius","Africa",1952,50.986,516556,1967.955707
"Haiti","Americas",1997,56.671,6913545,1341.726931
"Sweden","Europe",1967,74.16,7867931,15258.29697
"Belgium","Europe",1967,70.94,9556500,13149.04119
"Afghanistan","Asia",2002,42.129,25268405,726.7340548
"Ghana","Africa",1992,57.501,16278738,925.060154
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335
"Portugal","Europe",1972,69.26,8970450,9022.247417
"Rwanda","Africa",1982,46.218,5507565,881.5706467
"Greece","Europe",1997,77.869,10502372,18747.69814
"Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"Equatorial Guinea","Africa",1972,40.516,277603,672.4122571
"Oman","Asia",1957,40.08,561977,2242.746551
"Ireland","Europe",1957,68.9,2878220,5599.077872
"United Kingdom","Europe",1972,72.01,56079000,15895.11641
"Trinidad and Tobago","Americas",1992,69.862,1183669,7370.990932
"Tanzania","Africa",2002,49.651,34593779,899.0742111
"Italy","Europe",1987,76.42,56729703,19207.23482
"Sweden","Europe",1962,73.37,7561588,12329.44192
"Belgium","Europe",1982,73.93,9856303,20979.84589
"Jordan","Asia",1967,51.629,1255058,2741.796252
"Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"Cameroon","Africa",1997,52.199,14195809,1694.337469
"Chile","Americas",1972,63.441,9717524,5494.024437
"West Bank and Gaza","Asia",1967,51.631,1142636,2649.715007
"Korea, Dem. Rep.","Asia",1952,50.056,8865488,1088.277758
"Serbia","Europe",2007,74.002,10150265,9786.534714
"India","Asia",2007,64.698,1110396331,2452.210407
"Guinea-Bissau","Africa",1962,34.488,627820,522.0343725
"Korea, Rep.","Asia",1977,64.766,36436000,4657.22102
"Croatia","Europe",1967,68.5,4174366,6960.297861
"Sierra Leone","Africa",1962,32.767,2467895,1116.639877
"Kenya","Africa",2007,54.11,35610177,1463.249282
"Germany","Europe",1987,74.847,77718298,24639.18566
"Sri Lanka","Asia",1997,70.457,18698655,2664.477257
"Philippines","Asia",2002,70.303,82995088,2650.921068
"Morocco","Africa",1992,65.393,25798239,2948.047252
"Iceland","Europe",2007,81.757,301931,36180.78919
"Guinea-Bissau","Africa",1982,39.327,825987,838.1239671
"Singapore","Asia",1962,65.798,1750200,3674.735572
"Niger","Africa",1972,40.546,5060262,954.2092363
"Uganda","Africa",2002,47.813,24739869,927.7210018
"Japan","Asia",2007,82.603,127467972,31656.06806
"Senegal","Africa",1977,48.879,5260855,1561.769116
"Pakistan","Asia",2007,65.483,169270617,2605.94758
"Uruguay","Americas",1972,68.673,2829526,5703.408898
"Cameroon","Africa",1977,49.355,7959865,1783.432873
"Germany","Europe",1977,72.5,78160773,20512.92123
"Saudi Arabia","Asia",1977,58.69,8128505,34167.7626
"Ecuador","Americas",1987,67.231,9545158,6481.776993
"Benin","Africa",1977,49.19,3168267,1029.161251
"Mali","Africa",1962,36.936,4690372,496.1743428
"Singapore","Asia",1952,60.396,1127000,2315.138227
"Croatia","Europe",1957,64.77,3991242,4338.231617
"Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"Lesotho","Africa",1992,59.685,1803195,977.4862725
"Ethiopia","Africa",1982,44.916,38111756,577.8607471
"Rwanda","Africa",1952,40,2534927,493.3238752
"Burundi","Africa",1997,45.326,6121610,463.1151478
"Pakistan","Asia",1997,61.818,135564834,2049.350521
"Bangladesh","Asia",2002,62.013,135656790,1136.39043
"Guinea-Bissau","Africa",1987,41.245,927524,736.4153921
"Pakistan","Asia",1952,43.436,41346560,684.5971438
"Liberia","Africa",1972,42.614,1482628,803.0054535
"Sri Lanka","Asia",1977,65.949,14116836,1348.775651
"Sierra Leone","Africa",1977,36.788,3140897,1348.285159
"Sweden","Europe",2007,80.884,9031088,33859.74835
"Eritrea","Africa",1997,53.378,4058319,913.47079
"Senegal","Africa",2002,61.6,10870037,1519.635262
"Tanzania","Africa",1957,42.974,9452826,698.5356073
"Puerto Rico","Americas",1952,64.28,2227000,3081.959785
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253427
"Iran","Asia",1997,68.042,63327987,8263.590301
"South Africa","Africa",1997,60.236,42835005,7479.188244
"Guatemala","Americas",1952,42.023,3146381,2428.237769
"Turkey","Europe",1957,48.079,25670939,2218.754257
"Liberia","Africa",1997,42.221,2200725,609.1739508
"Djibouti","Africa",1957,37.328,71851,2864.969076
"Israel","Asia",1972,71.63,3095893,12786.93223
"Cuba","Americas",1997,76.151,10983007,5431.990415
"Cuba","Americas",2007,78.273,11416987,8948.102923
"Iraq","Asia",1997,58.811,20775703,3076.239795
"Singapore","Asia",1992,75.788,3235865,24769.8912
"Sweden","Europe",1987,77.19,8421403,23586.92927
"Chile","Americas",1977,67.052,10599793,4756.763836
"Rwanda","Africa",1957,41.5,2822082,540.2893983
"Turkey","Europe",1987,63.108,52881328,5089.043686
"Belgium","Europe",2007,79.441,10392226,33692.60508
"Tunisia","Africa",1992,70.001,8523077,4332.720164
"Guatemala","Americas",1967,50.016,4690773,3242.531147
"Oman","Asia",1977,57.367,1004533,11848.34392
"Colombia","Americas",2002,71.682,41008227,5755.259962
"Spain","Europe",1997,78.77,39855442,20445.29896
"Botswana","Africa",1992,62.745,1342614,7954.111645
"Nicaragua","Americas",1972,55.151,2182908,4688.593267
"Libya","Africa",1992,68.755,4364501,9640.138501
"Norway","Europe",1992,77.32,4286357,33965.66115
"Colombia","Americas",1952,50.643,12350771,2144.115096
"Rwanda","Africa",1962,43,3051242,597.4730727
"Ethiopia","Africa",1967,42.115,27860297,516.1186438
"Iran","Asia",2002,69.451,66907826,9240.761975
"Chad","Africa",1972,45.569,3899068,1104.103987
"Angola","Africa",1987,39.906,7874230,2430.208311
"Thailand","Asia",1997,67.521,60216677,5852.625497
"Switzerland","Europe",1987,77.41,6649942,30281.70459
"Germany","Europe",1972,71,78717088,18016.18027
"Mali","Africa",1972,39.977,5828158,581.3688761
"Mali","Africa",1997,49.903,9384984,790.2579846
"Sweden","Europe",1957,72.49,7363802,9911.878226
"Slovenia","Europe",2007,77.926,2009245,25768.25759
"Argentina","Americas",1957,64.399,19610538,6856.856212
"Zambia","Africa",1972,50.107,4506497,1773.498265
"Sudan","Africa",2007,58.556,42292929,2602.394995
"Japan","Asia",2002,82,127065841,28604.5919
"Central African Republic","Africa",1967,41.478,1733638,1136.056615
"West Bank and Gaza","Asia",1987,67.046,1691210,5107.197384
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"Kenya","Africa",1992,59.285,25020539,1341.921721
"Cuba","Americas",1992,74.414,10723260,5592.843963
"Ecuador","Americas",1957,51.356,4058385,3780.546651
"Finland","Europe",2007,79.313,5238460,33207.0844
"Ecuador","Americas",1982,64.342,8365850,7213.791267
"Finland","Europe",1987,74.83,4931729,21141.01223
"Serbia","Europe",1952,57.996,6860147,3581.459448
"Sudan","Africa",2002,56.369,37090298,1993.398314
"Mauritania","Africa",1992,58.333,2119465,1361.369784
"Hungary","Europe",2007,73.338,9956108,18008.94444
"Vietnam","Asia",1952,40.412,26246839,605.0664917
"Angola","Africa",2002,41.003,10866106,2773.287312
"Chile","Americas",1962,57.924,7961258,4519.094331
"Comoros","Africa",1982,52.933,348643,1267.100083
"Turkey","Europe",1972,57.005,37492953,3450.69638
"Sao Tome and Principe","Africa",1992,62.742,125911,1428.777814
"Benin","Africa",1952,38.223,1738315,1062.7522
"Korea, Dem. Rep.","Asia",1987,70.647,19067554,4106.492315
"Tanzania","Africa",1992,50.44,26605473,825.682454
"Sao Tome and Principe","Africa",2007,65.528,199579,1598.435089
"Czech Republic","Europe",1972,70.29,9862158,13108.4536
"Libya","Africa",1997,71.555,4759670,9467.446056
"Sierra Leone","Africa",1972,35.4,2879013,1353.759762
